image_path,filename,class,class_folder,file_size_mb,split
covid_classifier\data\raw\COVID\COVID-3102.png,COVID-3102.png,COVID-19,COVID,0.03717994689941406,train
covid_classifier\data\raw\Normal\Normal-2638.png,Normal-2638.png,NORMAL,Normal,0.035803794860839844,train
covid_classifier\data\raw\Normal\Normal-8332.png,Normal-8332.png,NORMAL,Normal,0.035256385803222656,train
covid_classifier\data\raw\COVID\COVID-1551.png,COVID-1551.png,COVID-19,COVID,0.04107093811035156,train
covid_classifier\data\raw\Normal\Normal-7502.png,Normal-7502.png,NORMAL,Normal,0.03782463073730469,train
covid_classifier\data\raw\Normal\Normal-3974.png,Normal-3974.png,NORMAL,Normal,0.03436565399169922,train
covid_classifier\data\raw\Normal\Normal-1353.png,Normal-1353.png,NORMAL,Normal,0.037940025329589844,train
covid_classifier\data\raw\Normal\Normal-8712.png,Normal-8712.png,NORMAL,Normal,0.03487205505371094,train
covid_classifier\data\raw\Normal\Normal-2683.png,Normal-2683.png,NORMAL,Normal,0.036437034606933594,train
covid_classifier\data\raw\Normal\Normal-670.png,Normal-670.png,NORMAL,Normal,0.0425872802734375,train
covid_classifier\data\raw\Normal\Normal-838.png,Normal-838.png,NORMAL,Normal,0.04107189178466797,train
covid_classifier\data\raw\Normal\Normal-9924.png,Normal-9924.png,NORMAL,Normal,0.03249073028564453,train
covid_classifier\data\raw\Normal\Normal-9811.png,Normal-9811.png,NORMAL,Normal,0.03362274169921875,train
covid_classifier\data\raw\Normal\Normal-859.png,Normal-859.png,NORMAL,Normal,0.042365074157714844,train
covid_classifier\data\raw\Normal\Normal-9117.png,Normal-9117.png,NORMAL,Normal,0.030181884765625,train
covid_classifier\data\raw\Viral Pneumonia\Viral Pneumonia-559.png,Viral Pneumonia-559.png,PNEUMONIA,Viral Pneumonia,0.03671836853027344,train
covid_classifier\data\raw\COVID\COVID-3176.png,COVID-3176.png,COVID-19,COVID,0.035427093505859375,train
covid_classifier\data\raw\Normal\Normal-9959.png,Normal-9959.png,NORMAL,Normal,0.03288078308105469,train
covid_classifier\data\raw\Normal\Normal-1302.png,Normal-1302.png,NORMAL,Normal,0.044124603271484375,train
